1.0	40.0	2.0	5	0.94182 ± 0.00031	0.94581 ± 0.00033	0.94901 ± 0.00037	0.95013 ± 0.00067	0.9479 ± 0.0022
1.0	40.0	3.5	5	0.9636 ± 0.00023	0.95127 ± 0.00025	0.94813 ± 0.00027	0.94827 ± 0.00034	0.94905 ± 0.00068
2.0	40.0	1.75	5	0.96521 ± 0.0003	0.95346 ± 0.00037	0.94931 ± 0.00045	0.94916 ± 0.00082	0.9525 ± 0.0027
2.0	40.0	2.0	5	0.97009 ± 0.00027	0.95709 ± 0.00035	0.95099 ± 0.00041	0.9504 ± 0.00066	0.9516 ± 0.0019
2.0	40.0	2.5	5	0.97761 ± 0.00023	0.96448 ± 0.0003	0.95596 ± 0.00035	0.95243 ± 0.00048	0.9526 ± 0.0011
